Country,Year,GDP_Billion_USD,GDP_Growth_%,Inflation_Rate_%,Unemployment_Rate_%,Population_Million,Export_Billion_USD,Import_Billion_USD,Foreign_Reserve_Billion_USD,Interest_Rate_%,Government_Debt_%GDP
Japan,2018,5808.9,9.17,4.64,6.62,1218.44,2607.95,567.75,1886.38,6.0,137.69
Japan,2022,15957.48,1.71,7.75,5.94,1285.65,4187.52,1151.91,1831.63,6.11,100.93
Japan,2021,19319.19,1.15,1.81,10.31,199.97,148.07,324.39,1645.57,2.32,114.89
USA,2022,14766.32,9.58,5.14,3.88,321.49,3784.23,3625.12,756.32,7.38,68.55
USA,2020,18414.63,5.44,5.28,4.67,918.18,261.73,2838.07,120.75,3.89,145.05
Germany,2017,2529.42,8.0,4.92,8.18,862.56,1327.16,359.18,488.2,5.54,54.67
Japan,2021,5077.74,3.5,3.84,11.3,806.73,517.74,871.64,418.05,2.44,40.87
Japan,2018,22226.01,-2.84,8.11,5.62,1042.77,1475.26,3034.43,904.03,2.19,126.88
Germany,2022,2563.19,4.3,2.16,2.93,330.98,4412.81,3484.7,217.53,5.76,104.09
USA,2019,9359.84,3.67,6.73,4.17,467.6,3287.03,535.03,1859.7,3.53,141.06
Japan,2020,1817.37,-2.36,3.96,6.71,580.92,3032.81,566.63,593.23,4.6,61.85
India,2022,8375.6,-3.24,3.6,6.72,267.64,272.48,2682.73,989.18,5.58,66.62
USA,2015,5121.25,2.5,3.86,3.77,568.67,1103.39,1211.39,795.79,7.2,134.88
Japan,2024,3380.84,6.38,1.04,2.76,1277.69,498.49,1724.55,668.8,2.61,127.81
Germany,2022,23708.61,3.05,3.79,7.55,896.57,1287.78,1906.15,1206.89,5.16,94.5
Germany,2015,1757.51,0.17,2.25,8.13,531.86,4536.29,2637.6,1665.51,7.84,35.37
India,2015,15127.89,6.05,7.41,3.77,144.94,4157.45,4168.03,1987.73,4.18,64.42
UK,2018,21021.2,8.11,9.87,4.98,1267.16,137.54,1583.9,348.18,1.58,52.56
Germany,2017,6308.18,-4.74,1.73,6.13,185.56,1275.38,608.03,1968.98,2.4,80.96
Japan,2015,1180.33,2.57,4.25,11.14,1176.14,3316.38,2843.22,189.42,3.07,22.88
USA,2018,15500.2,-3.78,2.05,6.08,594.56,2448.54,914.2,669.71,4.11,114.79
Japan,2019,3722.41,2.27,4.55,7.78,1037.88,1270.66,941.64,275.72,1.24,56.74
USA,2021,2734.36,1.23,5.49,2.73,661.39,3941.76,2957.21,1774.72,7.09,138.48
UK,2020,7398.49,-2.65,1.12,8.22,278.69,1974.88,3355.89,794.84,4.22,64.88
USA,2017,4752.49,2.14,4.2,10.87,758.65,3948.9,708.41,1131.11,4.89,103.2
India,2020,23992.41,6.83,4.51,9.66,391.86,3224.97,581.18,325.02,2.1,25.38
UK,2019,21174.18,3.44,6.27,7.56,1181.29,1326.08,2370.36,1697.78,4.69,100.8
Germany,2016,1330.54,7.98,5.01,7.58,1218.98,4264.39,3878.17,473.34,5.32,100.62
USA,2021,17358.23,7.16,5.46,2.24,243.18,3303.66,998.07,319.27,4.84,122.81
USA,2024,10417.18,6.73,5.42,3.94,305.14,1051.16,3040.85,538.96,5.96,38.38
USA,2022,20069.06,2.27,9.93,6.86,870.97,1433.17,4512.25,666.3,3.94,49.91
USA,2023,6007.81,4.91,3.18,4.72,409.06,3736.12,2060.68,1865.81,7.65,28.22
UK,2017,3837.31,-3.76,2.2,11.17,727.0,1100.68,592.45,1306.77,7.42,54.29
Japan,2019,13075.6,6.14,1.06,7.08,132.91,3846.73,3598.85,221.08,3.39,38.0
Japan,2024,14562.12,6.43,4.17,3.44,1146.22,3407.13,1879.73,1844.2,5.04,88.6
UK,2016,21622.86,3.99,7.33,6.89,662.2,2338.42,1056.45,297.85,3.71,52.35
Germany,2020,8603.86,3.36,7.5,7.68,101.2,3737.01,1532.82,461.12,4.51,52.71
Japan,2017,10240.41,-2.64,6.27,8.01,1316.66,4542.42,3538.83,704.81,2.8,132.68
UK,2021,14217.1,2.67,7.91,5.47,110.09,1524.08,3992.81,275.43,3.75,86.99
USA,2015,17460.64,-4.37,5.77,6.32,1165.04,4333.12,2799.85,860.62,5.0,142.43
India,2021,17788.54,-4.8,2.94,11.47,1383.41,1106.25,991.56,1020.28,3.36,90.64
Germany,2018,19358.63,8.94,7.56,10.39,318.3,3035.14,241.41,1986.81,3.64,80.03
India,2016,16650.2,-4.57,7.93,10.29,44.19,1787.63,2130.44,526.4,4.2,136.22
UK,2017,24050.37,6.07,3.5,10.41,372.53,4602.18,1675.21,1231.94,4.65,66.44
India,2024,23078.61,-4.77,1.95,6.23,859.94,3399.41,4353.3,1781.78,1.71,81.0
India,2018,4174.1,0.21,6.91,6.45,210.64,3456.88,366.44,466.35,7.86,78.23
USA,2015,14885.32,8.42,8.22,7.35,1023.35,728.39,2789.56,1998.69,2.56,95.13
India,2016,14261.42,2.81,6.48,6.76,149.13,1658.76,4681.3,441.19,5.22,48.08
UK,2017,9272.95,-1.88,4.59,8.52,130.49,2498.64,4917.63,1677.98,1.26,67.44
UK,2015,9001.5,4.17,8.98,10.23,1386.95,2434.51,4621.23,367.67,2.47,26.73
USA,2017,12509.32,-1.91,1.25,4.22,598.18,4956.29,693.05,606.14,4.87,91.37
UK,2017,24915.78,-3.59,2.59,5.33,879.76,1769.08,3827.26,789.75,4.28,133.01
Japan,2017,11964.36,8.01,7.69,2.24,865.6,591.55,1458.44,664.78,4.56,67.7
USA,2021,13002.48,5.33,9.1,6.43,184.93,2994.36,4279.27,1698.01,1.09,84.29
UK,2021,15834.26,6.19,9.0,9.89,1036.77,1065.47,3467.97,871.84,6.29,67.51
UK,2020,9262.86,9.03,2.81,5.55,1007.26,1279.22,1628.44,1120.12,5.15,39.42
Germany,2016,8515.7,7.11,8.73,6.66,369.22,1024.69,722.82,877.32,5.78,52.15
Germany,2024,12251.35,-3.76,7.42,7.76,20.64,4278.35,3361.53,1038.98,4.85,28.96
India,2024,5244.24,7.26,7.81,6.11,529.5,1438.2,816.93,1491.19,1.07,105.44
UK,2020,2404.5,8.58,7.36,10.88,213.47,4279.8,2444.84,846.63,6.97,48.72
UK,2021,13732.04,6.38,7.62,11.26,178.73,1594.08,2541.81,415.33,4.14,134.49
USA,2018,1118.7,1.38,5.45,2.88,1310.36,3939.94,3875.55,1115.48,3.57,36.95
India,2019,16946.06,7.88,5.05,10.23,145.05,1276.98,4214.98,922.51,6.51,117.7
Germany,2017,24541.15,-3.77,3.98,5.32,1386.2,2763.31,3952.77,158.0,3.17,119.5
USA,2017,8956.49,-4.91,1.32,3.86,264.75,698.3,1660.24,594.19,1.69,80.25
USA,2019,23424.77,7.34,5.53,6.39,563.05,4621.06,675.21,977.67,2.38,35.9
India,2017,6670.43,-4.57,2.86,6.38,26.22,2589.48,198.72,378.43,5.34,48.94
Germany,2017,1924.94,5.64,7.88,4.38,1109.63,2292.05,1729.12,216.65,3.74,139.75
Japan,2016,6102.26,-2.96,2.18,3.52,525.94,4216.05,4969.85,131.63,3.0,133.04
USA,2022,14571.68,-4.69,2.2,6.23,59.25,358.36,1245.24,524.91,1.87,57.72
Japan,2020,5767.7,5.5,5.29,7.38,532.95,775.52,1210.8,786.4,7.44,83.32
USA,2020,21791.98,-2.44,9.19,11.36,844.82,4359.57,2061.39,460.41,4.07,113.69
UK,2024,3783.57,9.0,1.61,7.13,772.7,3841.14,270.13,1823.96,3.6,130.45
Germany,2023,24067.48,8.51,4.93,7.08,1163.57,3974.2,272.49,1059.06,5.25,58.72
India,2015,13937.19,2.95,2.37,7.56,882.65,4337.64,4368.31,1073.45,2.04,116.86
UK,2019,4074.08,5.88,8.35,11.33,1325.05,4264.59,4460.95,819.3,3.6,97.07
USA,2021,19284.81,0.39,5.62,10.16,1128.79,1791.8,4905.06,179.55,1.79,78.22
Germany,2022,17243.14,4.46,4.19,2.7,923.51,1577.82,4859.73,928.68,6.65,89.19
Germany,2020,7691.24,3.85,2.86,8.64,784.3,853.31,3759.41,877.29,6.0,46.86
Germany,2020,6812.21,7.21,8.88,3.4,349.66,3854.35,2434.18,139.74,5.41,102.78
Japan,2018,15651.09,-2.63,2.59,8.56,990.56,4616.35,3888.33,946.83,4.5,76.02
Japan,2019,8116.18,5.5,5.97,3.72,799.41,586.55,4807.84,1497.45,7.29,89.42
Germany,2019,8705.87,7.53,2.39,8.87,172.6,3071.07,3933.85,1752.91,1.63,134.8
India,2017,1774.99,0.8,2.54,11.46,366.58,624.69,3574.41,465.28,4.79,58.3
USA,2023,4995.42,9.62,6.67,2.6,886.29,1910.33,2812.21,212.22,1.18,84.47
UK,2022,17484.06,7.08,7.19,9.74,1075.6,4872.91,3244.85,1926.61,1.15,74.2
Germany,2021,22574.73,5.8,7.59,10.21,902.64,3461.7,3309.28,563.75,4.29,31.13
UK,2018,19529.15,6.71,2.99,3.39,208.88,3726.81,4458.88,599.78,6.26,49.38
Japan,2018,9371.53,-1.23,8.16,9.85,1020.17,536.45,1189.63,1085.08,7.05,56.25
USA,2019,1222.31,6.34,4.56,10.54,1011.2,2589.77,2483.79,1752.54,3.07,63.46
Japan,2018,22014.3,8.35,5.0,11.17,968.88,220.83,116.7,105.59,6.23,145.13
Germany,2022,9393.07,-4.94,7.13,3.02,1324.5,1736.27,2170.79,225.34,4.74,123.96
UK,2022,16582.32,-3.85,6.0,5.13,971.19,3813.91,4508.31,997.38,3.05,116.52
USA,2022,9620.32,-0.69,5.7,8.71,989.24,3154.86,3273.96,1997.54,2.62,50.87
USA,2021,21162.03,5.13,8.31,7.43,527.48,3062.75,2069.75,996.04,7.26,127.7
USA,2020,17103.99,6.85,8.8,6.2,695.55,892.9,3618.47,1727.69,6.42,110.72
Germany,2024,3593.43,0.54,6.55,9.44,1099.74,4673.92,3103.51,1021.46,6.01,50.63
India,2015,7181.9,2.17,7.92,11.48,1190.96,3427.19,3194.45,1703.38,6.06,105.43
Germany,2022,22929.61,4.87,2.72,7.81,57.86,3932.19,1878.6,1293.01,7.56,25.25
Germany,2016,7254.03,-2.55,3.32,4.76,1126.59,4924.97,1810.24,98.88,3.52,114.85
Germany,2021,12878.56,9.98,9.63,3.62,1273.32,2724.14,3262.42,99.94,3.42,100.16
Japan,2023,15619.76,5.8,7.73,2.82,79.55,3687.06,1356.21,1142.61,5.56,67.91
Germany,2018,7536.48,6.61,7.86,10.65,267.4,636.66,3644.66,878.83,4.31,60.5
Japan,2017,12493.02,2.61,5.41,6.47,993.37,2670.22,1201.82,1283.2,7.34,112.79
Germany,2017,19109.98,3.83,3.41,4.49,233.82,1860.03,2012.57,1471.05,5.34,107.76
Germany,2018,20399.24,-3.31,6.43,2.39,648.95,4048.85,535.95,1428.09,6.38,45.0
India,2020,21980.71,9.25,7.13,8.57,82.11,4070.97,4634.28,406.83,3.24,134.68
Japan,2020,19857.31,-2.17,6.18,8.19,970.79,2764.62,4201.47,1102.71,6.48,56.64
Japan,2022,24059.68,3.96,3.08,9.56,314.72,2970.02,4647.09,409.14,1.63,33.91
Japan,2023,12238.1,4.75,1.07,6.12,795.64,154.13,3492.26,1116.08,7.13,146.16
Germany,2021,10978.22,6.96,6.95,7.75,67.75,4924.93,3420.82,1145.91,7.0,31.77
Germany,2023,6848.28,-2.26,9.79,3.09,172.87,3753.23,1020.67,385.22,1.93,49.59
Germany,2019,6508.17,-1.1,3.17,9.15,29.63,2675.33,4903.2,393.42,1.59,77.74
Germany,2016,23666.78,7.78,4.49,9.77,294.46,3320.39,185.97,1637.76,1.81,76.42
Germany,2020,12780.46,5.96,5.23,9.48,438.56,2025.83,1473.9,1316.18,5.19,62.65
Germany,2018,8254.15,6.42,5.93,3.89,441.56,3555.92,337.03,467.61,1.83,121.73
USA,2015,12166.11,3.5,6.63,10.2,187.64,4415.45,2334.76,1026.14,1.79,33.62
India,2020,3323.41,3.22,4.1,9.49,1371.56,4064.81,4733.1,119.68,5.49,40.06
Japan,2015,23367.41,6.28,1.03,11.11,206.51,490.26,4185.32,1961.28,5.19,121.39
USA,2018,23339.22,-2.75,8.75,2.41,410.34,641.27,1782.93,168.56,2.16,42.6
